DBID,CUIs
DB08567,C0151626
DB08567,C0027540
DB08567,C0027651
DB08567,C0027813
DB08567,C0027849
DB08567,C0031117
DB08567,C0028738
DB08567,C0009595
DB08567,C0085637
DB08567,C0013604
DB08567,C0085649
DB08567,C0014868
DB08567,C0028961
DB08567,C0029134
DB08567,C0020651
DB08567,C0029882
DB08567,C0030193
DB08567,C0030232
DB08567,C0030252
DB08567,C0030305
DB08567,C0030312
DB08567,C0151836
DB08567,C0030920
DB08567,C0235490
DB08567,C0019065
DB08567,C0349506
DB08567,C0042023
DB08567,C0232286
DB08567,C0032961
DB08567,C0033038
DB08567,C0033774
DB08567,C0034150
DB08567,C0034186
DB08567,C0423791
DB08567,C0231837
DB08567,C0035243
DB08567,C0151826
DB08567,C0424790
DB08567,C0037036
DB08567,C0522178
DB08567,C0036830
DB08567,C0549622
DB08567,C0036974
DB08567,C0037199
DB08567,C0037274
DB08567,C2830004
DB08567,C0037822
DB08567,C0038273
DB08567,C0038325
DB08567,C0392162
DB08567,C0038362
DB08567,C0241705
DB08567,C0038450
DB08567,C0424000
DB08567,C0038661
DB08567,C0038663
DB08567,C0038990
DB08567,C0700590
DB08567,C0039231
DB08567,C0233494
DB08567,C0233632
DB08567,C0151610
DB08567,C0040479
DB08567,C0040822
DB08567,C0038367
DB08567,C0178298
DB08567,C0041969
DB08567,C0042024
DB08567,C0080274
DB08567,C0042075
DB08567,C0042109
DB08567,C0221392
DB08567,C0042345
DB08567,C1368065
DB08567,C0042384
DB08567,C0042401
DB08567,C0042514
DB08567,C0042571
DB08567,C0043096
DB08567,C0043349
DB08567,C0043387
DB07129,C0000737
DB07129,C0001364
DB07129,C0001824
DB07129,C0002170
DB07129,C0151480
DB07129,C0003811
DB07129,C0428974
DB07129,C0003862
DB07129,C0004093
DB07129,C0004134
DB07129,C0085611
DB07129,C0004245
DB07129,C0018939
DB07129,C0015967
DB07129,C0428977
DB07129,C0018802
DB07129,C0036980
DB07129,C0008031
DB07129,C0009676
DB07129,C0009806
DB07129,C0520966
DB07129,C0026821
DB07129,C0011603
DB07129,C0011606
DB07129,C0011991
DB07129,C0234215
DB07129,C0043352
DB07129,C0014742
DB07129,C0015672
DB07129,C1443060
DB07129,C0018524
DB07129,C0018681
DB07129,C0018834
DB07129,C0019158
DB07129,C0019521
DB07129,C0600142
DB07129,C0020517
DB07129,C0020538
DB07129,C0020580
DB07129,C0020649
DB07129,C2047937
DB07129,C0023530
DB07129,C0220870
DB07129,C0041657
DB07129,C0231218
DB07129,C0236075
DB07129,C0948594
DB07129,C0026987
DB07129,C0027497
DB07129,C0028643
DB07129,C0028738
DB07129,C0013604
DB07129,C0151970
DB07129,C0030193
DB07129,C0030252
DB07129,C0030305
DB07129,C0030920
DB07129,C0036974
DB07129,C0701811
DB07129,C2830004
DB07129,C0037822
DB07129,C0233715
DB07129,C0038325
DB07129,C0700590
DB07129,C0740425
DB07129,C0233494
DB07129,C0040822
DB07129,C0041909
DB07129,C0152032
DB07129,C0085612
DB07129,C0151636
DB07129,C0344232
DB07129,C0547030
DB08298,C0000737
DB08298,C0232492
DB08298,C0702166
DB08298,C0948089
DB08298,C0233472
DB08298,C0001824
DB08298,C0001925
DB08298,C0002063
DB08298,C0002170
DB08298,C0002418
DB08298,C0002871
DB08298,C0002792
DB08298,C0340865
DB08298,C0002994
DB08298,C0042373
DB08298,C0038363
DB08298,C0002874
DB08298,C0003578
DB08298,C1971624
DB08298,C0003811
DB08298,C0003862
DB08298,C0022408
DB08298,C0004093
DB08298,C0004096
DB08298,C0232849
DB08298,C0018939
DB08298,C0151539
DB08298,C0015967
DB08298,C0005940
DB08298,C0151825
DB08298,C0006142
DB08298,C0006145
DB08298,C0006147
DB08298,C0006277
DB08298,C0022650
DB08298,C0018799
DB08298,C0018801
DB08298,C0018802
DB08298,C0007642
DB08298,C0235198
DB08298,C0008031
DB08298,C0085593
DB08298,C0008325
DB08298,C0008350
DB08298,C0008370
DB08298,C0149516
DB08298,C0338656
DB08298,C0009421
DB08298,C0009676
DB08298,C0009763
DB08298,C0009782
DB08298,C0009806
DB08298,C0520966
DB08298,C1956346
DB08298,C0026821
DB08298,C0010346
DB08298,C0232462
DB08298,C0011175
DB08298,C0011603
DB08298,C0011606
DB08298,C0011849
DB08298,C0011991
DB08298,C0012569
DB08298,C0234215
DB08298,C0233407
DB08298,C0012813
DB08298,C0043352
DB08298,C0013447
DB08298,C0013491
DB08298,C0013595
DB08298,C0522055
DB08298,C0392025
DB08298,C0014457
DB08298,C0014527
DB08298,C0232493
DB08298,C0014591
DB08298,C0302295
DB08298,C0041834
DB08298,C0014742
DB08298,C0014743
DB08298,C0015397
DB08298,C0151827
DB08298,C0015672
DB08298,C1443060
DB08298,C0016204
DB08298,C0038358
DB08298,C0017152
DB08298,C0017178
DB08298,C0017181
DB08298,C0017979
DB08298,C0018926
DB08298,C0018932
DB08298,C0018965
DB08298,C0518015
DB08298,C0018524
DB08298,C0018681
DB08298,C0018834
DB08298,C0235996
DB08298,C0019158
DB08298,C0019214
DB08298,C0020456
DB08298,C0020517
DB08298,C0020538
DB08298,C0026826
DB08298,C0740394
DB08298,C0020615
DB08298,C0020649
DB08298,C2047937
DB08298,C0021053
DB08298,C0021361
DB08298,C0021368
DB08298,C0021390
DB08298,C0392171
DB08298,C0917801
DB08298,C0022573
DB08298,C0151746
DB08298,C0022904
DB08298,C0023530
DB08298,C0023646
DB08298,C0220870
DB08298,C0041657
DB08298,C0024115
DB08298,C0409974
DB08298,C0497156
DB08298,C0231218
DB08298,C0162429
DB08298,C0025061
DB08298,C0025323
DB08298,C0004936
DB08298,C0220981
DB08298,C0025874
DB08298,C0149931
DB08298,C0085633
DB08298,C0151785
DB08298,C0948594
DB08298,C0948525
DB08298,C0027339
DB08298,C0027430
DB08298,C0027497
DB08298,C0007859
DB08298,C0151626
DB08298,C0027540
DB08298,C0268732
DB08298,C0392525
DB08298,C0027726
DB08298,C0027813
DB08298,C0085582
DB08298,C0031117
DB08298,C1320474
DB08298,C0013604
DB08298,C0085649
DB08298,C0151970
DB08298,C0014868
DB08298,C0028961
DB08298,C0029134
DB08298,C2363730
DB08298,C0029882
DB08298,C0030193
DB08298,C0030252
DB08298,C0030305
DB08298,C0030312
DB08298,C0522224
DB08298,C0030920
DB08298,C0349506
DB08298,C0042023
DB08298,C0032708
DB08298,C0033575
DB08298,C0033687
DB08298,C0033774
DB08298,C0521616
DB08298,C0034068
DB08298,C0034063
DB08298,C0034150
DB08298,C0034186
DB08298,C0267596
DB08298,C0391870
DB08298,C0332575
DB08298,C0035078
DB08298,C1720775
DB08298,C0235063
DB08298,C0243026
DB08298,C0036974
DB08298,C0037199
DB08298,C0037274
DB08298,C0549419
DB08298,C0281981
DB08298,C0037299
DB08298,C2830004
DB08298,C0038325
DB08298,C0221512
DB08298,C0038362
DB08298,C0151811
DB08298,C0038990
DB08298,C0038999
DB08298,C0024141
DB08298,C0039231
DB08298,C0234233
DB08298,C0151936
DB08298,C0233494
DB08298,C0242429
DB08298,C0040046
DB08298,C0518988
DB08298,C0040435
DB08298,C0040822
DB08298,C0041582
DB08298,C0038367
DB08298,C0178298
DB08298,C0041969
DB08298,C0042024
DB08298,C0080274
DB08298,C0042075
DB08298,C0042029
DB08298,C0438142
DB08298,C0042109
DB08298,C0404521
DB08298,C0042267
DB08298,C0158570
DB08298,C1368065
DB08298,C0042384
DB08298,C0042401
DB08298,C0042571
DB08298,C0344232
DB08298,C0547030
DB08298,C0152009
DB08298,C0043096
DB08298,C0043144
DB08298,C0023510
DB02932,C0000737
DB02932,C0948089
DB02932,C0002170
DB02932,C0002871
DB02932,C0002994
DB02932,C0042373
DB02932,C0003811
DB02932,C0151904
DB02932,C0004093
DB02932,C0004096
DB02932,C0004238
DB02932,C0004690
DB02932,C0151919
DB02932,C0852911
DB02932,C0311468
DB02932,C0018939
DB02932,C0151539
DB02932,C0015967
DB02932,C0005940
DB02932,C0151825
DB02932,C0428977
DB02932,C0006145
DB02932,C0262397
DB02932,C0006277
DB02932,C0022650
DB02932,C0018799
DB02932,C0018801
DB02932,C0018802
DB02932,C0038454
DB02932,C0008031
DB02932,C0085593
DB02932,C0009676
DB02932,C0009763
DB02932,C0009806
DB02932,C1956346
DB02932,C0151578
DB02932,C0010709
DB02932,C0232462
DB02932,C0011175
DB02932,C0011603
DB02932,C0011849
DB02932,C0011991
DB02932,C0043352
DB02932,C0013491
DB02932,C0014457
DB02932,C0014591
DB02932,C0542571
DB02932,C0015672
DB02932,C0746883
DB02932,C1443060
DB02932,C0016204
DB02932,C0016658
DB02932,C0017152
DB02932,C0151544
DB02932,C0017178
DB02932,C0018099
DB02932,C0018418
DB02932,C0018965
DB02932,C0518015
DB02932,C0162119
DB02932,C0018681
DB02932,C0235378
DB02932,C0019270
DB02932,C0019572
DB02932,C0600142
DB02932,C0020295
